"id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","pass.outcome"
"c6b5b1b2-1dff-4666-b632-4425b064a9bb","Carles Puyol i Saforcada",0.08804283,"From Free Kick",15.78005,-2.2168324,"Ground Pass","Right Foot",116.9,57.9,107.4,45.3,"No goal"
"c2ab5b9c-eaf5-4aba-acec-ade75c2a1d9b","David Josué Jiménez Silva",0.017756555,"From Free Kick",28.439585,-0.86255145,"Ground Pass","Left Foot",64.2,24.7,82.7,3.1,"No goal"
"1b9cc80e-dceb-42a1-943e-610ae83f07c9","Xavier Hernández Creus",0.05434554,"From Corner",32.449963,1.6262949,"High Pass","Right Foot",120,1,118.2,33.4,"No goal"
"a802acb7-bf62-4032-a2b2-5b325ca45996","Vicente Rodríguez Guillén",0.04735535,"Regular Play",34.0366,1.348622,"High Pass","Left Foot",98.9,2.7,106.4,35.9,"No goal"
"fdd0fd30-713c-4021-a36c-c130c764e590","David Josué Jiménez Silva",0.011613689,"From Free Kick",12.841339,2.156639,"Low Pass","Other",91.9,32.3,84.8,43,"No goal"
"36c6f91f-4788-4132-ad7a-16ba39f0b7bd","Eiður Smári Guðjohnsen",0.057032775,"Regular Play",10.825895,-0.2046418,"Ground Pass","Right Foot",84.1,39.8,94.7,37.6,"No goal"
"c2888140-849c-4c5f-a63b-631242f9d47e","Samuel Eto""o Fils",0.02453194,"From Throw In",28.741781,0.91616136,"Ground Pass","Right Foot",75,45.1,92.5,67.9,"No goal"
"769ebca3-0acc-4cc7-8537-3f919b72a91d","Giovani dos Santos Ramírez",0.5269113,"From Free Kick",11.994165,-1.4454072,"Ground Pass","Right Foot",108.9,54.2,110.4,42.3,"Goal"
"d9b5cd4e-13ef-4fd1-accd-2ff7d018760a","Xavier Hernández Creus",0.18769047,"From Counter",27.6,0,"Ground Pass","Right Foot",63.9,57.6,91.5,57.6,"No goal"
"1a24ac4f-b5b0-4116-b776-27bf019bdece","Xavier Hernández Creus",0.6243622,"Regular Play",13.497407,1.742035,"Ground Pass","Right Foot",117.1,25.4,114.8,38.7,"No goal"
"aa96ce32-590c-46ec-9b22-4143cf017aeb","Xavier Hernández Creus",0.038565185,"From Throw In",27.513634,-0.9767454,"High Pass","Right Foot",76.9,46.5,92.3,23.7,"No goal"
"d12c0d04-a1da-4730-b416-47865c7d77c4","David Josué Jiménez Silva",0.042701267,"From Counter",17.50457,0.022853164,"Ground Pass","Left Foot",92.3,24.9,109.8,25.3,"No goal"
"2b1dc9d7-bc31-4f1b-8b22-a6710413238d","Carles Puyol i Saforcada",0.078769,"Regular Play",19.725365,-0.44550902,"Ground Pass","Right Foot",92.8,70.5,110.6,62,"No goal"
"ca6130bc-7c7f-4b21-905d-09876975b039","Juan Manuel Mata García",0.012646116,"From Free Kick",15.370751,-2.8033826,"Ground Pass","Left Foot",101,56.1,86.5,51,"No goal"
"9b79f525-4bf5-40cb-8171-5f9c78bc66d7","Lionel Andrés Messi Cuccittini",0.019177822,"From Corner",23.926764,-2.0961633,"Ground Pass","Left Foot",106.2,73.6,94.2,52.9,"No goal"
"761e0ea9-c411-4c52-b8d8-8fe9930d457c","Thierry Henry",0.07684502,"Regular Play",11.177209,2.158799,"Ground Pass","Right Foot",104.2,33,98,42.3,"Goal"
"8530438f-ffb6-4e1e-bef6-b85adb75ace7","Marco Antonio Simoes Caneira",0.014449428,"Regular Play",10.335376,1.076855,"Ground Pass","Right Foot",77,22.4,81.9,31.5,"No goal"
"07b0efb2-e862-48df-b329-5de95ae4977e","Marco Antonio Simoes Caneira",0.038550355,"From Corner",39.704533,1.807223,"High Pass","Left Foot",120,1,110.7,39.6,"No goal"
"f2da4ea2-9bdc-484d-84c4-4958fe88bfa5","Anderson Luís de Souza",0.0361434,"From Free Kick",11.957006,-0.51603407,"Ground Pass","Right Foot",68.6,52.7,79,46.8,"No goal"
"52ec79c3-5e75-4d5f-9be2-abc21cec3a8a","Anderson Luís de Souza",0.2674369,"From Throw In",15.717824,0.41241044,"Ground Pass","Right Foot",90.6,40.2,105,46.5,"No goal"
"bef61f87-b3fe-49e1-9e9b-b710a82ac5f6","Thierry Henry",0.2215193,"Regular Play",17.20029,0.18713365,"High Pass","Right Foot",90.9,49.5,107.8,52.7,"No goal"
"6a66fc4e-8cd7-439d-8698-82b8797358a9","Eric-Sylvain Bilal Abidal",0.06781222,"From Free Kick",10.210778,-0.24735396,"Ground Pass","Left Foot",73.3,4.8,83.2,2.3,"No goal"
"3c19b930-2bc1-48c4-a253-d1c24e039858","Thierry Henry",0.02420645,"From Throw In",14.660491,0.9354806,"Low Pass","Right Foot",95.3,9.5,104,21.3,"No goal"
"f2ee227c-1b9b-4cad-a58b-ed5d13de2a02","Lionel Andrés Messi Cuccittini",0.030243622,"Regular Play",17.523699,-2.2348425,"Ground Pass","Left Foot",99.3,53.1,88.5,39.3,"No goal"
"bdafd054-1126-4748-bdeb-f754d899e846","Anderson Luís de Souza",0.19742732,"From Corner",45.432365,1.3103358,"High Pass","Right Foot",102.5,3.7,114.2,47.6,"No goal"
"86432d9c-2c80-4541-a5db-fa932ed75fba","Eric-Sylvain Bilal Abidal",0.040199775,"From Throw In",21.763502,1.0248607,"Ground Pass","Left Foot",83.3,8.4,94.6,27,"No goal"
"6be9a3d9-b634-4ba3-8af0-f9a680b7f83e","Lionel Andrés Messi Cuccittini",0.03225781,"From Free Kick",13.194695,-1.1240963,"Ground Pass","Left Foot",95,34.5,100.7,22.6,"Goal"
"806e6ef0-9050-4e23-82e7-0fc29ffbbf44","David Villa Sánchez",0.13093543,"From Throw In",20.957577,0.5469661,"Ground Pass","Right Foot",83.8,34.2,101.7,45.1,"No goal"
"0d57eed9-fa92-4309-abe5-4178fce9fe4c","Anderson Luís de Souza",0.11835846,"From Free Kick",10.696261,0.23590861,"Ground Pass","Right Foot",82.5,20.5,92.9,23,"No goal"
"07dda171-aada-433a-bd99-22c463e09870","David Josué Jiménez Silva",0.06539395,"Regular Play",16.324827,1.5156376,"Ground Pass","Left Foot",85.5,21.8,86.4,38.1,"No goal"
"11c7406e-f6ca-4ab5-92eb-ce0043da7c7d","Anderson Luís de Souza",0.4615459,"Regular Play",21.557365,0.12090276,"Ground Pass","Right Foot",86.8,44.4,108.2,47,"Goal"
"b2c887b7-90ed-4a6c-93ee-0675ca9c0076","Bojan Krkíc Pérez",0.06447584,"Regular Play",7.940403,-2.1133757,"Ground Pass","Right Foot",105,47,100.9,40.2,"No goal"
"a8be3868-9089-493e-ae99-72d238bae1e3","Eiður Smári Guðjohnsen",0.7529594,"From Goal Kick",20.811775,1.6044375,"Ground Pass","Left Foot",114.1,25.5,113.4,46.3,"Goal"
"31070e93-a087-459f-95c6-b10e276d37c3","Jesús Navas González",0.03554824,"From Goal Kick",28.178005,-1.1230204,"High Pass","Right Foot",91.1,68.2,103.3,42.8,"No goal"
"c5eaef5a-b492-48f4-930f-7080f2bd5272","Ivica Dragutinovic",0.033467732,"Regular Play",30.468508,1.4655758,"High Pass","Left Foot",105.6,4.2,108.8,34.5,"No goal"
"c2eebcac-22b8-4789-b738-82a63e2a7ebd","Anderson Luís de Souza",0.02274178,"From Goal Kick",40.55712,-1.0033107,"Low Pass","Right Foot",82.2,45.5,104,11.3,"No goal"
"12358fd2-8b3d-4e9a-b0b1-4d6934b01a34","Anderson Luís de Souza",0.016354298,"From Corner",35.034267,2.4329665,"Ground Pass","Right Foot",117.1,7.1,90.5,29.9,"No goal"
"da4ae6d9-747e-49ac-a563-d731754da84e","Anderson Luís de Souza",0.016284915,"From Throw In",18.82817,1.7577755,"Ground Pass","Right Foot",88.2,22.2,84.7,40.7,"No goal"
