"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","group"
"Elise Hughes",6,0,0,2,0,0,1,0,0,3,0,17.2021601166667,3,1,2,5,0,1,0,0,0,87.1166666666667,38.55,92.7666666666667,26.5166666666667,"10-"
"Elizabeth Arnott",2,0,2,0,0,0,0,0,0,0,0,25.7669645,1,1,0,1,0,1,0,0,0,109.55,72.5,102.25,48.75,"10-"
"Ellie Mason",2,0,0,1,0,0,1,0,0,0,0,16.6212665,1,1,0,0,0,2,0,0,0,67,39,78,27.5,"10-"
"Ellie Roebuck",2,0,0,1,0,0,1,0,0,0,0,73.256315,0,2,0,2,0,0,0,0,0,20.2,43.45,92.45,38.65,"10-"
"Emily Donovan",4,0,0,2,0,1,0,1,0,0,0,22.66966725,3,1,0,4,0,0,0,0,0,83.75,44.75,96.75,42.75,"10-"
"Emily Simpkins",3,0,1,2,0,0,0,0,0,0,0,22.1673346666667,1,1,1,2,0,0,1,0,0,90.9,49.8666666666667,99.1333333333333,53.8666666666667,"10-"
"Emily Syme",5,0,0,4,1,0,0,0,0,0,0,15.68938434,2,0,3,2,0,2,0,1,0,83,35.8,90,35.8,"10-"
"Emma Brownlie",2,0,0,0,2,0,0,0,0,0,0,25.185229,1,1,0,2,0,0,0,0,0,82,52,97,44.5,"10-"
"Emma Mitchell",11,0,2,2,2,0,1,4,0,0,0,30.3042000909091,5,3,3,2,0,8,1,0,0,92.2909090909091,27.2909090909091,103.6,36.5272727272727,"20-"
"Emma Rose Kelly",1,0,1,0,0,0,0,0,0,0,0,37.01351,0,1,0,1,0,0,0,0,0,87.2,12.8,108.6,43,"10-"
"Erin Bloomfield",4,0,1,0,2,0,0,0,0,1,0,21.772521875,2,1,1,3,0,0,1,0,0,97.5,50.25,97,43.25,"10-"
"Esme Beth Morgan",7,0,1,4,0,0,0,0,0,2,0,18.520167,5,1,1,6,0,1,0,0,0,99.5285714285714,49.3714285714286,100.114285714286,42.0571428571429,"10-"
"Esmee de Graaf",12,0,2,2,0,0,2,6,0,0,0,29.3875283333333,2,7,3,8,1,1,2,0,0,101.666666666667,50.25,100.416666666667,37.8333333333333,"20-"
"Faye Bryson",6,0,4,2,0,0,0,0,0,0,0,12.6367173333333,5,1,0,3,0,2,1,0,0,96.1666666666667,63.6666666666667,99.6666666666667,53.5,"10-"
"Fern Whelan",3,0,0,1,1,0,0,1,0,0,0,32.4930473333333,0,3,0,1,1,0,1,0,0,82.7666666666667,52.5,108.533333333333,50.7666666666667,"10-"
"Filippa Wallén",1,0,1,0,0,0,0,0,0,0,0,12.162236,0,0,1,0,0,0,1,0,0,105.1,0.1,96.5,8.7,"10-"
"Frances Kitching",1,0,0,0,0,0,0,0,0,1,0,74.00878,0,1,0,1,0,0,0,0,0,6,44,78.1,60.7,"10-"
"Frankie Brown",9,0,0,5,1,0,3,0,0,0,0,25.1657981111111,6,1,2,5,0,4,0,0,0,68.4,39.4333333333333,84.3666666666667,46.1111111111111,"10-"
"Gabrielle George",8,0,0,5,1,0,1,1,0,0,0,25.4321115,6,2,0,5,0,3,0,0,0,81.775,25.9875,97.9625,29.8,"10-"
"Gemma Bonner",11,0,2,6,0,0,1,2,0,0,0,27.2070919181818,5,3,3,5,2,2,2,0,0,86.1727272727273,63.8636363636364,102.436363636364,50.0727272727273,"20-"
"Gemma Evans",5,0,1,1,1,1,1,0,0,0,0,16.4263594,3,1,1,0,0,3,2,0,0,77.94,18.44,90.38,21.38,"10-"
"Georgia Brougham",6,0,2,1,2,0,1,0,0,0,0,25.8623721666667,4,2,0,3,0,3,0,0,0,75.2833333333333,50.4333333333333,86.7333333333333,40.8,"10-"
"Georgia Evans",2,0,1,1,0,0,0,0,0,0,0,17.765181,2,0,0,1,0,1,0,0,0,61,30.5,74.5,29.5,"10-"
"Georgia Wilson",2,0,0,2,0,0,0,0,0,0,0,13.606452,2,0,0,2,0,0,0,0,0,71.2,44.05,79.9,43.4,"10-"
"Geum-Min Lee",1,0,0,1,0,0,0,0,0,0,0,40.824013,0,1,0,1,0,0,0,0,0,103.6,14.2,102.2,55,"10-"
"Gilly Louise Scarlett Flaherty",5,0,0,0,3,0,0,2,0,0,0,17.9405412,0,2,3,3,2,0,0,0,0,101.22,42.98,108.5,35.52,"10-"
"Hannah Godfrey",6,0,2,2,0,0,1,1,0,0,0,26.2518725,2,4,0,5,0,0,1,0,0,63.7666666666667,51.05,85,39.6833333333333,"10-"
"Harriet Scott",9,0,4,2,0,1,0,2,0,0,0,19.1323640777778,4,3,2,7,0,1,1,0,0,105.177777777778,52.8333333333333,107.611111111111,41.9666666666667,"10-"
"Heather Payne",3,0,0,1,0,0,1,0,0,1,0,12.5479386666667,2,0,1,2,1,0,0,0,0,103,65,95,56.6666666666667,"10-"
"Jacinta Galabadaarachchi",2,0,1,0,0,0,0,1,0,0,0,22.74218675,1,1,0,2,0,0,0,0,0,95.4,5.15,92.85,27.1,"10-"
"Jamie-Lee Napier",1,0,1,0,0,0,0,0,0,0,0,7.725283,1,0,0,1,0,0,0,0,0,109.5,60.1,102.3,57.3,"10-"
"Janni Arnth-Jensen",3,0,1,1,0,0,0,1,0,0,0,31.44079,1,2,0,3,0,0,0,0,0,106,71,99.6666666666667,41.6666666666667,"10-"
"Jenna Schillaci",1,0,1,0,0,0,0,0,0,0,0,43.789154,0,1,0,0,0,1,0,0,0,53.1,38.6,81.3,5.1,"10-"
"Jennifer Beattie",5,0,0,1,1,0,0,3,0,0,0,8.9082359,2,2,1,1,1,1,2,0,0,103.6,34.7,106.9,37.78,"10-"
"Jessica Wooley",2,0,2,0,0,0,0,0,0,0,0,21.662989,1,1,0,2,0,0,0,0,0,112,69.5,100.5,52.5,"10-"
"Josanne Potter",16,0,3,1,2,0,1,7,0,2,0,45.7808963125,4,12,0,1,0,15,0,0,0,83.28125,27.6,101.58125,37.30625,"20-"
"Josie Green",11,0,2,5,2,1,1,0,0,0,0,27.5038529545455,5,4,2,6,1,4,0,0,0,74,39.3727272727273,84.7545454545455,36.2272727272727,"20-"
"Juliette Kemppi",3,0,0,3,0,0,0,0,0,0,0,16.02992,2,1,0,1,0,2,0,0,0,98,52.6666666666667,100.333333333333,47.3333333333333,"10-"
